     0.000      0.000
     0.000      0.000
     0.000      0.000
    -2.490    251.660
     3.411    244.654
    -5.174    241.260
     2.957    245.440
    -5.086    242.320
     4.225    247.748
    -5.190    248.061
     5.148    243.374
    -4.950    242.807
     4.646    242.875
    -4.443    242.707
     3.785    241.698
    -4.748    241.914
     4.076    241.449
    -4.232    240.557
     3.622    241.404
    -4.874    239.943
     2.874    240.455
    -4.376    240.431
     4.896    240.388
    -4.321    240.185
     3.594    241.590
    -4.163    242.161
     3.631    241.151
    -3.806    239.409
     2.661    240.955
    -4.183    239.424
     4.155    239.018
    -3.506    237.644
     2.974    238.041
    -4.682    237.163
     2.970    239.821
    -5.193    239.118
     3.761    238.317
    -4.744    235.919
     3.787    237.487
    -3.292    239.877
     4.550    238.069
    -4.515    236.902
     3.105    237.805
    -5.046    237.663
     2.950    238.746
    -3.829    237.172
     2.583    239.622
    -4.571    238.344
     3.250    239.818
    -4.273    238.138
     4.097    238.748
    -4.233    237.194
     3.070    237.378
    -4.141    238.624
     3.547    239.055
    -4.639    237.940
     2.629    238.166
    -3.589    236.043
     2.402    236.882
    -3.208    237.597
     3.063    237.851
    -4.348    238.117
     2.603    236.717
    -4.202    234.972
     2.216    235.640
    -5.317    235.495
     2.522    236.599
    -3.974    237.159
     3.714    236.990
    -4.291    235.565
     1.933    235.902
    -4.447    237.291
     1.670    238.647
    -4.084    235.436
     1.933    237.190
    -4.800    235.229
     2.461    235.973
    -4.436    235.005
     2.158    238.860
    -5.371    236.465
     3.037    235.535
    -4.717    236.578
     3.765    237.068
    -4.120    238.073
     2.748    237.666
    -4.897    236.513
     3.275    236.097
    -3.966    235.091
     2.731    233.536
    -4.565    234.475
     2.648    235.507
    -4.665    235.988
     2.612    236.057
    -4.999    235.260
     1.750    235.464
    -3.865    235.152
     2.235    234.554
    -4.911    233.663
     3.109    234.781
    -4.176    233.390
     2.804    234.827
    -4.527    233.158
     2.113    234.626
    -4.794    234.493
     1.634    236.577
    -4.245    235.027
     3.372    236.404
    -4.509    235.459
     3.147    236.917
    -3.784    236.866
     3.050    237.343
    -4.771    236.308
     2.806    234.963
    -4.635    235.655
     2.394    236.925
    -3.638    235.697
     2.141    236.451
    -5.553    236.740
     2.303    235.245
    -4.035    235.765
     2.798    235.894
    -4.199    235.605
     2.812    236.270
    -3.986    235.853
     3.328    235.164
    -4.769    234.391
     1.432    236.563
    -4.830    234.456
     2.521    236.658
    -5.132    237.262
     1.738    236.785
    -4.914    233.232
     2.923    234.147
    -4.169    234.563
     2.531    234.937
    -4.652    234.189
     1.898    235.950
    -3.353    235.509
     3.232    232.180
    -3.691    231.332
     2.925    232.607
    -3.713    230.795
     2.402    233.746
    -3.287    235.300
     3.275    234.825
    -5.005    234.082
     2.670    233.646
    -4.484    234.941
     3.439    234.929
    -4.899    233.427
     2.833    237.010
    -3.909    237.784
     2.906    236.108
