T001 	 -0.058 	 -0.154 	 0.659 	 1.510 	 0.784 	 -2.213
T002 	 0.358 	 0.579 	 0.805 	 2.888 	 1.653 	 -3.117
T003 	 -0.012 	 0.519 	 0.204 	 1.590 	 1.148 	 -2.253
T004 	 -0.028 	 0.601 	 0.083 	 1.515 	 1.222 	 -2.149
T005 	 -0.061 	 0.639 	 0.082 	 1.373 	 1.478 	 -2.289
T006 	 -0.108 	 -0.038 	 0.968 	 1.359 	 1.467 	 -2.501
T007 	 -0.058 	 -0.154 	 0.659 	 1.510 	 0.784 	 -2.213
